year,yearbook.MX.Total,yearbook.MXplusCuba,yearbook.MX,yearbook.MX.Mid.range,yearbook.MX.Artisanal,yearbook.MXonlyCuba,yearbook.USA.GlfSt,FAO.1976.MX,FAO.1976.Cuba,FAO.web.Cuba,FAO.1976.MX.Cuba,Peer.rev.Carpenter.1965.USA.CampB,Peer.rev.Guzman.Vizcarra.1986,Peer.rev.OribePerezetal.2023,yearbook.SEDAR.61.USA,yearbook.Cuba,Artisanal.ss,Mid.range.ss,Cuban.ss,Trawlers.ss,Total.ss
1936,,,,,,,,,,,,,,,,0,,,,,
1947,,,,,,,,,,,,,,,,0,,,,,
1950,,,,,,,,,,2000,,90.719,,,,0,39.5,297.1398985,284.828075,0,621.4679735
1951,,,,,,,,,,2000,,90.719,,,,0,49.4,371.4248732,379.7707667,0,800.5956399
1952,,,,,,,,,,2000,,90.719,,,,0,61.8,464.2810914,506.3610222,0,1032.442114
1953,,,,,,,,,,2000,,90.719,,,,0,77.2,580.3513643,675.1480296,0,1332.699394
1954,,,,,,,,,,2200,,90.719,,,,0,96.6,725.4392054,900.1973728,0,1722.236578
1955,,,,,,,,,,2500,,90.719,,,,0,120.7,906.7990067,1200.263164,0,2227.762171
1956,,,,,,,,,,3000,,90.719,,,,0,150.9,1133.498758,1600.350885,0,2884.749643
1957,,,,,,,,,,4000,,90.719,,,,0,188.6,1416.873448,2133.80118,0,3739.274628
1958,2161.911,2006.824,2006.824,1771.092,235.732,,1325.1,,,4000,,90.719,,2161.911,,2162,235.7,1771.09181,2845.06824,0,4851.86005
1959,6482.63,6380.273,2586.849,2161.911,424.938,3793.424,1790.43,,,5000,,90.719,,6482.63,,6771.424,424.9,2161.91067,3793.42432,0,6380.23499
1960,6250,6336.848,3461.538,2872.208,589.33,2875.31,2052.35,,,5000,,143.337,3794,6250,,6669.31,589.3,2872.20844,2875.31017,0,6336.81861
1961,8173.077,8132.754,4171.836,3501.861,669.975,3960.918,2015.89,,,5000,,408.237,4581,8173.077,,8541.918,670,3501.86104,3960.91811,0,8132.77915
1962,7807.072,7611.662,4153.225,3545.285,607.94,3458.437,2359.06,,,4700,,453.597,4974,7807.072,,8332.437,607.9,3545.28536,3458.43673,0,7611.62209
1963,9500.62,9388.958,5849.876,4848.015,1001.861,3539.082,1618.18,6256,0,5000,6256,544.316,6157,9500.62,1784,9696.082,1001.9,4848.01489,3539.08189,0,9388.99678
1964,10176.8,9944.169,6156.948,5192.308,964.64,3787.221,1886.37,6876,0,5100,6876,,6933,10176.8,2079,10720.221,964.6,5192.30769,3787.22084,0,9944.12853
1965,10856.08,9416.874,5629.653,4745.658,883.995,3787.221,2096.5,6976,0,6400,6976,,6967,10856.08,2311,10754.221,884,4745.65757,3787.22084,0,9416.87841
1966,12540.32,11550.869,6805.211,5704.094,1101.117,4745.658,2014.42,7399,0,7000,7399,,7379,12540.32,2221,12124.658,1101.1,5704.09429,4745.65757,0,11550.85186
1967,11017.37,9668.114,3964.02,3331.266,632.754,5704.094,1635.76,4349,5135,5500,9484,,4297,11017.37,1803,10001.094,632.8,3331.26551,5704.09429,0,9668.1598
1968,10486.97,12115.384,5049.627,4311.414,738.213,7065.757,1795.95,5541,5373,8700,10914,,5415,10486.97,1980,12480.757,738.2,4311.41439,7065.75682,0,12115.37121
1969,12196.03,12248.76,7149.504,6023.573,1125.931,5099.256,2085.24,7531,4956,9200,12487,,7426,12196.03,2299,12525.256,1125.9,6023.5732,5099.25558,0,12248.72878
1970,18017.99,13045.906,8266.129,7009.926,1256.203,4779.777,2032.67,8586,6393,8600,14979,,8495,18017.99,2241,13274.777,1256.2,7009.92556,4779.77668,9.570972132,13055.47321
1971,18576.3,19888.338,10536.601,7254.963,3281.638,9351.737,1734.71,10214,4819,5600,15033,,10081,18576.3,1912,19432.737,3281.6,7254.96278,9351.73697,10.63441348,19898.93416
1972,19807.69,21746.273,13914.387,10204.71,3709.677,7831.886,1798.9,13747,4920,5800,18667,,13433,19807.69,1983,21264.886,3709.7,10204.7146,7831.88586,11.81601498,21758.11647
1973,17168.11,17279.777,11516.75,8458.437,3058.313,5763.027,1387.79,,3253,5500,3253,,11355,17168.11,1530,17118.027,3058.3,8458.43673,5763.0273,13.12890553,17292.89294
