year,total catch,B. Gonzalez et al. (1974a),MSY Gonzalez et al. (1974a),B. Gonzalez et al. (1974b),MSY Gonzalez et al. (1974b),B. Klima (1976),MSY Klima (1976),B. Buesa (1978),MSY Buesa (1978),B. Blanco et al. (1980),MSY Blanco et al. (1980),B. Doi et al. (1981),MSY Doi et al. (1981),B. Seijo (1986),MSY Seijo (1986),B. Garcia et al. (1986),MSY Garcia et al. (1986),B. Fuentes y Contreras (1986),MSY Fuentes y Contreras (1986),B. Arreguin-Sanchez (1987),MSY Arreguin-Sanchez (1987),B. Valdes et al. (1989),MSY Valdes et al. (1989),B. Moreno et al. (1991),MSY Moreno et al. (1991),B. Contreras et al. (1993),MSY Contreras et al. (1993),B. Moreno et al. (1995),MSY Moreno et al. (1995),B. Moreno et al. (1997),MSY Moreno et al. (1997),B. Monroy (1998),MSY Monroy (1998),B. Hernandez et al. (1999),MSY Hernandez et al. (1999),B. Gimenez-Hurtado et al. (2005),MSY Gimenez-Hurtado et al. (2005),B. Burgos-Rosas y Perez-Perez (2006),MSY Burgos-Rosas y Perez-Perez (2006),B. Hernandez et al. (2010),MSY Hernandez et al. (2010),B. Monroy-Garcia et al. (2013),MSY Monroy-Garcia et al. (2013),B. Burgos et al. (1999),MSY Burgos et al. (1999),B. Echazabal-Salazar et al. (2021),MSY Echazabal-Salazar et al. (2021),B. present study,SSB. present study,MSY present study
1950,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279218,122036,8953
1951,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278302,121773,8953
1952,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276911,121392,8953
1953,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274628,120806,8953
1954,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271246,119875,8953
1955,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266746,118379,8953
1956,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261206,116076,8953
1957,1605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254714,113124,8953
1958,2007,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,247300,109674,8953
1959,8656,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,238915,105752,8953
1960,8062,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,89000,,65000,8500,,,46487,,,,,,,,,,229315,101278,8953
1961,10509,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,89000,,65000,8500,,,46487,,,,,,,,,,220077,97065.6,8953
1962,9687,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,89000,,65000,8500,,,46487,,,,,,,,,,209387,92132.4,8953
1963,11512,,,,,,,,,,,,,,,,,,,228000,12000,,,,,,,,,,,89000,,65000,8500,,,46487,,,,,,,,,,199684,87570,8953
1964,12217,,,,,,,,,18000,,,,,,,,,,228000,12000,,,,,,,,,,,89000,,65000,8500,,,46487,,,,,,,,,,188560,82562.2,8953
