Year,Month,Fleet,Index,CV,Label,
2000,8,1,0.000157071,0.152608386,artisanal,
2001,8,1,0.000126056,0.152639401,artisanal,
2002,8,1,0.000143716,0.152621741,artisanal,
2003,8,1,9.70E-05,0.152668457,artisanal,
2004,8,1,0.000115653,0.152649804,artisanal,
2005,8,1,0.000110721,0.152654736,artisanal,
2006,8,1,0.000123072,0.152642385,artisanal,
2007,8,1,0.000143974,0.152621483,artisanal,
2008,8,1,0.00013286,0.152632597,artisanal,
2009,8,1,0.000147786,0.152617671,artisanal,
2010,8,1,0.000118078,0.152647379,artisanal,
2011,8,1,0.000111093,0.152654364,artisanal,
2012,8,1,0.000147501,0.152617956,artisanal,
2013,8,1,0.000128946,0.152636511,artisanal,
2014,8,1,0.00011487,0.152650587,artisanal,
2015,8,1,0.000135493,0.152629964,artisanal,
2016,8,1,0.00013237,0.152633087,artisanal,
2017,8,1,0.000130696,0.152634761,artisanal,
2018,8,1,0.000103782,0.152661675,artisanal,
2019,8,1,0.000127599,0.152637858,artisanal,
2020,8,1,0.000127537,0.15263792,artisanal,
2021,8,1,8.67E-05,0.152678757,artisanal,
2022,8,1,8.61E-05,0.152679357,artisanal,
1983,6,2,3.94E-05,0.040106335,mid.range,
1984,6,2,3.34E-05,0.040106635,mid.range,
1985,6,2,3.94E-05,0.040106335,mid.range,
1986,6,2,4.34E-05,0.040106135,mid.range,
1987,6,2,3.94E-05,0.040106335,mid.range,
1988,6,2,4.14E-05,0.040106235,mid.range,
1989,6,2,0.00003,0.040106801,mid.range,
1990,6,2,0.000026,0.040107001,mid.range,
1991,6,2,0.00002,0.040107301,mid.range,
1992,6,2,2.14E-05,0.040107235,mid.range,
1993,6,2,2.26E-05,0.040107168,mid.range,
1994,6,2,2.14E-05,0.040107235,mid.range,
1995,6,2,1.67E-05,0.040107468,mid.range,
1996,6,2,1.47E-05,0.040107568,mid.range,
1997,6,2,0.000014,0.040107601,mid.range,
1998,6,2,0.000014,0.040107601,mid.range,
1999,6,2,1.33E-05,0.040107635,mid.range,
2000,6,2,2.70E-05,0.040105601,mid.range,
2001,6,2,2.28E-05,0.040106021,mid.range,
2002,6,2,2.45E-05,0.040105851,mid.range,
2003,6,2,2.39E-05,0.040105911,mid.range,
2004,6,2,2.49E-05,0.040105811,mid.range,
2005,6,2,2.87E-05,0.040105431,mid.range,
2006,6,2,2.58E-05,0.040105721,mid.range,
2007,6,2,2.61E-05,0.040105691,mid.range,
2008,6,2,3.07E-05,0.040105231,mid.range,
2009,6,2,3.18E-05,0.040105121,mid.range,
2010,6,2,2.97E-05,0.040105331,mid.range,
2011,6,2,2.73E-05,0.040105571,mid.range,
2012,6,2,3.26E-05,0.040105041,mid.range,
2013,6,2,2.77E-05,0.040105531,mid.range,
2014,6,2,2.18E-05,0.040106121,mid.range,
2015,6,2,2.40E-05,0.040105901,mid.range,
2016,6,2,1.96E-05,0.040106341,mid.range,
2017,6,2,1.78E-05,0.040106521,mid.range,
2018,6,2,1.94E-05,0.040106361,mid.range,
2019,6,2,3.24E-05,0.040105061,mid.range,
2020,6,2,3.94E-05,0.040104361,mid.range,
2021,6,2,2.32E-05,0.040105981,mid.range,
2022,6,2,2.06E-05,0.040106241,mid.range,
1986,3,3,3.475,0.48538749,cuban,
1987,3,3,4.574,0.48538749,cuban,
1988,3,3,3.415,0.48538749,cuban,
1989,3,3,3.031,0.48538749,cuban,
1990,3,3,3.047,0.48538749,cuban,
1991,3,3,2.704,0.48538749,cuban,
1992,3,3,1.795,0.48538749,cuban,
1993,3,3,1.874,0.48538749,cuban,
1994,3,3,1.344,0.48538749,cuban,
1995,3,3,1.437,0.48538749,cuban,
1996,3,3,1.113,0.48538749,cuban,
1997,3,3,1.777,0.48538749,cuban,
1998,3,3,1.01,0.48538749,cuban,
1999,3,3,1.16,0.48538749,cuban,
2000,3,3,1.512,0.48538749,cuban,
2001,3,3,1.573,0.48538749,cuban,
2002,3,3,1.459,0.48538749,cuban,
1982,6,4,1.205257143,0.054732195,ffbtrwal,
1983,6,4,1.259657143,0.054732195,ffbtrwal,
1984,6,4,1.150857143,0.054732195,ffbtrwal,
1985,6,4,0.751714286,0.054732195,ffbtrwal,
1986,6,4,0.39944207,0.054732195,ffbtrwal,
1987,6,4,0.321441441,0.054732195,ffbtrwal,
1988,6,4,0.236204082,0.054732195,ffbtrwal,
1989,6,4,0.441566138,0.054732195,ffbtrwal,
1990,6,4,0.273846154,0.054732195,ffbtrwal,
1991,6,4,0.288827586,0.054732195,ffbtrwal,
1992,6,4,0.482694737,0.054732195,ffbtrwal,
1993,6,4,0.490461538,0.054732195,ffbtrwal,
1994,6,4,0.489022556,0.054732195,ffbtrwal,
1995,6,4,0.542635394,0.054732195,ffbtrwal,
1996,6,4,0.497454545,0.054732195,ffbtrwal,
1997,6,4,0.627857143,0.054732195,ffbtrwal,
1998,6,4,0.545142857,0.054732195,ffbtrwal,
