
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -7.7963e+06
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.19398 -7.79631e+06 |  2  0.00000 -3.57597e+04 |  3  0.00000 -2.54082e+04
  4  0.00000 -6.01357e+04 |  5  0.00000 -8.00963e+04 |  6  0.00000 -8.81234e+04
  7  0.00000 -9.18194e+04 |  8  0.00000 -1.04369e+05 |  9  0.00000 -1.12647e+05
 10  0.00000 -1.07863e+05 | 11  0.00000 -1.07975e+05 | 12  0.00000 -1.05457e+05
 13  0.00000 -1.04065e+05 | 14  0.00000 -1.04539e+05 | 15  0.00000 -9.90280e+04
 16  0.00000 -1.00875e+05 | 17  0.00000 -9.64031e+04 | 18  0.00000 -8.96860e+04
 19  0.00000  5.34959e+04 | 20  0.00000  1.19868e+05 | 21  0.00000  1.26704e+05
 22  0.00000  1.13926e+05 | 23  0.00000  1.02780e+05 | 24  0.00000  8.56469e+04
 25  0.00000  7.57313e+04 | 26  0.00000  6.55593e+04 | 27  0.00000  6.10422e+04
 28  0.00000  3.98656e+04 | 29  0.00000  3.16593e+04 | 30  0.00000  3.36315e+04
 31  0.00000  3.14488e+04 | 32  0.00000 -6.35905e+04 | 33  0.00000 -1.00328e+05
 34  0.00000 -7.14692e+04 | 35  0.00000 -9.32094e+04 | 36  0.00000 -1.13154e+05
 37  0.00000 -1.09585e+05 | 38  0.00000 -1.11926e+05 | 39  0.00000 -8.94975e+04
 40  0.00000 -8.14601e+04 | 41  0.00000 -8.49984e+04 | 42  0.00000 -9.55546e+04
 43  0.00000 -1.03703e+05 | 44  0.00000 -1.24426e+05 | 45  0.00000 -1.52852e+05
 46  0.00000 -1.35131e+05 | 47  0.00000 -1.05168e+05 | 48  0.00000 -7.45169e+04
 49  0.00000 -4.18861e+04 | 50  0.00000 -8.38729e+04 | 51  0.00000 -1.84045e+05
 52  0.00000 -1.44873e+05 | 53  0.00000 -1.09374e+05 | 54  0.00000 -9.14792e+04
 55  0.00000 -6.74439e+04 | 56  0.00000 -6.29446e+04 | 57  0.00000 -6.40434e+04
 58  0.00000 -5.82127e+04 | 59  0.00000 -7.00898e+04 | 60  0.00000 -7.58334e+04
 61  0.00000 -6.49880e+04 | 62  0.00000 -6.74262e+04 | 63  0.00000 -7.79894e+04
 64  0.00000 -6.66200e+04 | 65  0.00000 -5.36409e+04 | 66  0.00000 -3.24530e+04
 67  0.00000 -1.92210e+04 | 68  0.00000  1.90098e+03 | 69  0.00000  1.90650e+04
 70  0.00000  4.02414e+04 | 71  0.00000  6.42073e+04 | 72  0.00000  7.32958e+04
 73  0.00000  1.31060e+04 | 74  0.00000  1.91509e+02 | 75  0.00000  1.91527e+02
  ic > imax  in fminim is answer attained ?
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.08848  1.10630e+04 |  2  0.00130 -1.64097e+01 |  3  0.00092 -1.66939e+01
  4  0.00218 -2.18170e+01 |  5  0.00290 -2.82233e+01 |  6  0.00319 -3.61652e+01
  7  0.00333 -4.59275e+01 |  8  0.00378 -5.80014e+01 |  9  0.00408 -7.26961e+01
 10  0.00391 -9.03252e+01 | 11  0.00391 -1.11534e+02 | 12  0.00382 -1.36912e+02
 13  0.00377 -1.56612e+02 | 14  0.00379 -1.78494e+02 | 15  0.00359 -2.04549e+02
 16  0.00365 -2.37150e+02 | 17  0.00349 -2.76242e+02 | 18  0.00325 -3.17558e+02
 19 -0.00194 -3.47745e+02 | 20 -0.00434 -3.85478e+02 | 21 -0.00459 -4.40852e+02
 22 -0.00413 -5.04413e+02 | 23 -0.00372 -5.69970e+02 | 24 -0.00310 -6.38515e+02
 25 -0.00274 -7.05651e+02 | 26 -0.00238 -7.75854e+02 | 27 -0.00221 -8.46389e+02
 28 -0.00144 -8.96995e+02 | 29 -0.00115 -8.74808e+02 | 30 -0.00122 -7.24135e+02
 31 -0.00114 -3.27478e+02 | 32  0.00230  3.47281e+02 | 33  0.00363  1.06303e+03
 34  0.00259  1.81506e+03 | 35  0.00338  2.51152e+03 | 36  0.00410  3.11527e+03
 37  0.00397  3.65818e+03 | 38  0.00406  3.94890e+03 | 39  0.00324  4.06370e+03
 40  0.00295  4.10587e+03 | 41  0.00308  4.23303e+03 | 42  0.00346  4.30617e+03
 43  0.00376  4.04021e+03 | 44  0.00451  3.29540e+03 | 45  0.00554  2.11487e+03
 46  0.00490  7.42313e+02 | 47  0.00381 -4.78828e+02 | 48  0.00270 -1.20488e+03
 49  0.00152 -1.30988e+03 | 50  0.00304 -1.39145e+03 | 51  0.00667 -1.54182e+03
 52  0.00525 -1.70069e+03 | 53  0.00396 -1.86418e+03 | 54  0.00331 -2.00401e+03
 55  0.00244 -2.09963e+03 | 56  0.00228 -2.08402e+03 | 57  0.00232 -1.91775e+03
 58  0.00211 -1.64897e+03 | 59  0.00254 -1.34299e+03 | 60  0.00275 -9.97967e+02
 61  0.00235 -6.55959e+02 | 62  0.00244 -5.07344e+02 | 63  0.00283 -5.76523e+02
 64  0.00241 -7.51924e+02 | 65  0.00194 -9.74427e+02 | 66  0.00118 -1.06061e+03
 67  0.00070 -8.59285e+02 | 68 -0.00007 -4.01651e+02 | 69 -0.00069 -2.76718e+01
 70 -0.00146  5.24059e+01 | 71 -0.00233  2.20360e+01 | 72 -0.00266  4.72206e+00
 73 -0.00047  4.37477e+00 | 74 -0.00001  4.46993e+00 | 75 -0.00001  4.45307e+00
Function minimizer not making progress ... is minimum attained?
Minimprove criterion = 0.0000e+00

 - final statistics:
75 variables; iteration 2; function evaluation 39
Function value nan; maximum gradient component mag 1.1063e+04
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1  0.08848  1.10630e+04 |  2  0.00130 -1.64097e+01 |  3  0.00092 -1.66939e+01
  4  0.00218 -2.18170e+01 |  5  0.00290 -2.82233e+01 |  6  0.00319 -3.61652e+01
  7  0.00333 -4.59275e+01 |  8  0.00378 -5.80014e+01 |  9  0.00408 -7.26961e+01
 10  0.00391 -9.03252e+01 | 11  0.00391 -1.11534e+02 | 12  0.00382 -1.36912e+02
 13  0.00377 -1.56612e+02 | 14  0.00379 -1.78494e+02 | 15  0.00359 -2.04549e+02
 16  0.00365 -2.37150e+02 | 17  0.00349 -2.76242e+02 | 18  0.00325 -3.17558e+02
 19 -0.00194 -3.47745e+02 | 20 -0.00434 -3.85478e+02 | 21 -0.00459 -4.40852e+02
 22 -0.00413 -5.04413e+02 | 23 -0.00372 -5.69970e+02 | 24 -0.00310 -6.38515e+02
 25 -0.00274 -7.05651e+02 | 26 -0.00238 -7.75854e+02 | 27 -0.00221 -8.46389e+02
