
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value nan; maximum gradient component mag -1.1374e+07
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.19398 -1.13739e+07 |  2  0.00000 -4.16452e+04 |  3  0.00000 -4.08215e+04
  4  0.00000 -4.33975e+04 |  5  0.00000 -5.93472e+04 |  6  0.00000 -3.60501e+04
  7  0.00000 -6.38171e+04 |  8  0.00000 -7.12981e+04 |  9  0.00000 -9.59872e+04
 10  0.00000 -1.02480e+05 | 11  0.00000 -1.00302e+05 | 12  0.00000 -9.75976e+04
 13  0.00000 -1.01488e+05 | 14  0.00000 -9.95328e+04 | 15  0.00000 -9.95296e+04
 16  0.00000 -9.82555e+04 | 17  0.00000 -9.77149e+04 | 18  0.00000 -9.56602e+04
 19  0.00000 -8.72284e+04 | 20  0.00000  1.14721e+05 | 21  0.00000  1.36802e+05
 22  0.00000  1.34696e+05 | 23  0.00000  1.19575e+05 | 24  0.00000  1.10206e+05
 25  0.00000  9.24417e+04 | 26  0.00000  8.21853e+04 | 27  0.00000  7.23138e+04
 28  0.00000  7.14558e+04 | 29  0.00000  4.54089e+04 | 30  0.00000  4.25616e+04
 31  0.00000  4.66575e+04 | 32  0.00000  4.42218e+04 | 33  0.00000 -1.01531e+05
 34  0.00000 -8.64281e+04 | 35  0.00000 -4.28723e+04 | 36  0.00000 -1.19105e+05
 37  0.00000 -1.09639e+05 | 38  0.00000 -1.05240e+05 | 39  0.00000 -1.06716e+05
 40  0.00000 -6.87331e+04 | 41  0.00000 -6.17563e+04 | 42  0.00000 -5.64320e+04
 43  0.00000 -7.15133e+04 | 44  0.00000 -6.61153e+04 | 45  0.00000 -1.04449e+05
 46  0.00000 -1.25520e+05 | 47  0.00000 -9.17983e+04 | 48  0.00000 -8.79900e+04
 49  0.00000 -1.64154e+05 | 50  0.00000 -1.43308e+05 | 51  0.00000 -1.70488e+05
 52  0.00000 -3.09173e+05 | 53  0.00000 -1.57954e+05 | 54  0.00000 -1.69698e+05
 55  0.00000 -1.64393e+05 | 56  0.00000 -1.63780e+05 | 57  0.00000 -1.50993e+05
 58  0.00000 -1.49869e+05 | 59  0.00000 -1.45138e+05 | 60  0.00000 -1.58617e+05
 61  0.00000 -1.65390e+05 | 62  0.00000 -1.49519e+05 | 63  0.00000 -1.58226e+05
 64  0.00000 -1.70491e+05 | 65  0.00000 -1.58349e+05 | 66  0.00000 -1.63576e+05
 67  0.00000 -1.53802e+05 | 68  0.00000 -1.51664e+05 | 69  0.00000 -1.36906e+05
 70  0.00000 -1.26619e+05 | 71  0.00000 -1.09349e+05 | 72  0.00000 -8.86451e+04
