###
console output
2025-12-30 04:24:38.328221
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 4 at Tue Dec 30 04:20:37 2025
phase= 1 | nvar= 72 | iter=  0 | nll=4.43e+06 | mag=1.09e+07 | par[  1]=SR_parm[1]
phase= 1 | nvar= 72 | iter= 20 | nll=4.94e+02 | mag=1.22e+02 | par[ 57]=recdev2[56]
phase= 1 | nvar= 72 | iter= 40 | nll=4.44e+02 | mag=8.80e+01 | par[ 61]=recdev2[60]
phase= 1 | nvar= 72 | iter= 60 | nll=4.30e+02 | mag=9.24e+01 | par[ 42]=recdev2[41]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=69.1302
phase= 1 | nvar= 72 | iter= 64 | nll=4.28e+02 | mag=6.91e+01 | par[ 21]=recdev2[20]
phase= 2 | nvar= 72 | iter=  0 | nll=4.28e+02 | mag=6.91e+01 | par[ 21]=recdev2[20]
phase= 2 | nvar= 72 | iter= 20 | nll=4.15e+02 | mag=4.26e+02 | par[  1]=SR_parm[1]
phase= 2 | nvar= 72 | iter= 40 | nll=4.09e+02 | mag=3.39e+02 | par[ 21]=recdev2[20]
phase= 2 | nvar= 72 | iter= 60 | nll=3.89e+02 | mag=3.55e+03 | par[  1]=SR_parm[1]
Exiting without success due to excessive function evaluations (maxfn=100) | mag=6106.13
phase= 2 | nvar= 72 | iter= 76 | nll=3.77e+02 | mag=6.11e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter=  0 | nll=3.77e+02 | mag=6.11e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter= 20 | nll=2.60e+02 | mag=2.76e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter= 40 | nll=2.46e+02 | mag=7.18e+03 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter= 60 | nll=2.17e+02 | mag=2.14e+04 | par[  1]=SR_parm[1]
phase= 3 | nvar= 83 | iter= 80 | nll=1.89e+02 | mag=3.92e+04 | par[  1]=SR_parm[1]
