Year,Month,Fleet,Index,CV,Label
2000,8,1,0.000157071,0.152765457,artisanal
2001,8,1,0.000126056,0.152765457,artisanal
2002,8,1,0.000143716,0.152765457,artisanal
2003,8,1,9.70E-05,0.152765457,artisanal
2004,8,1,0.000115653,0.152765457,artisanal
2005,8,1,0.000110721,0.152765457,artisanal
2006,8,1,0.000123072,0.152765457,artisanal
2007,8,1,0.000143974,0.152765457,artisanal
2008,8,1,0.00013286,0.152765457,artisanal
2009,8,1,0.000147786,0.152765457,artisanal
2010,8,1,0.000118078,0.152765457,artisanal
2011,8,1,0.000111093,0.152765457,artisanal
2012,8,1,0.000147501,0.152765457,artisanal
2013,8,1,0.000128946,0.152765457,artisanal
2014,8,1,0.00011487,0.152765457,artisanal
2015,8,1,0.000135493,0.152765457,artisanal
2016,8,1,0.00013237,0.152765457,artisanal
2017,8,1,0.000130696,0.152765457,artisanal
2018,8,1,0.000103782,0.152765457,artisanal
2019,8,1,0.000127599,0.152765457,artisanal
2020,8,1,0.000127537,0.152765457,artisanal
2021,8,1,8.67E-05,0.152765457,artisanal
2022,8,1,8.61E-05,0.152765457,artisanal
2000,6,2,2.70E-05,1.95E-01,mid.range
2001,6,2,2.28E-05,1.95E-01,mid.range
2002,6,2,2.45E-05,1.95E-01,mid.range
2003,6,2,2.39E-05,1.95E-01,mid.range
2004,6,2,2.49E-05,1.95E-01,mid.range
2005,6,2,2.87E-05,1.95E-01,mid.range
2006,6,2,2.58E-05,1.95E-01,mid.range
2007,6,2,2.61E-05,1.95E-01,mid.range
2008,6,2,3.07E-05,1.95E-01,mid.range
2009,6,2,3.18E-05,1.95E-01,mid.range
2010,6,2,2.97E-05,1.95E-01,mid.range
2011,6,2,2.73E-05,1.95E-01,mid.range
2012,6,2,3.26E-05,1.95E-01,mid.range
2013,6,2,2.77E-05,1.95E-01,mid.range
2014,6,2,2.18E-05,1.95E-01,mid.range
2015,6,2,2.40E-05,1.95E-01,mid.range
2016,6,2,1.96E-05,1.95E-01,mid.range
2017,6,2,1.78E-05,1.95E-01,mid.range
2018,6,2,1.94E-05,1.95E-01,mid.range
2019,6,2,3.24E-05,1.95E-01,mid.range
2020,6,2,3.94E-05,1.95E-01,mid.range
2021,6,2,2.32E-05,1.95E-01,mid.range
2022,6,2,2.06E-05,1.95E-01,mid.range
1986,3,3,3.475,0.48538749,cuban
1987,3,3,4.574,0.48538749,cuban
1988,3,3,3.415,0.48538749,cuban
1989,3,3,3.031,0.48538749,cuban
1990,3,3,3.047,0.48538749,cuban
1991,3,3,2.704,0.48538749,cuban
1992,3,3,1.795,0.48538749,cuban
1993,3,3,1.874,0.48538749,cuban
1994,3,3,1.344,0.48538749,cuban
1995,3,3,1.437,0.48538749,cuban
1996,3,3,1.113,0.48538749,cuban
1997,3,3,1.777,0.48538749,cuban
1998,3,3,1.01,0.48538749,cuban
1999,3,3,1.16,0.48538749,cuban
2000,3,3,1.512,0.48538749,cuban
2001,3,3,1.573,0.48538749,cuban
2002,3,3,1.459,0.48538749,cuban
