Year,Fleet_1,Fleet_2,Fleet_3,Fleet_4
1950,39.5492685,297.1398985,284.828075,0
1951,49.43658562,371.4248732,379.7707667,0
1952,61.79573203,464.2810914,506.3610222,0
1953,77.24466504,580.3513643,675.1480296,0
1954,96.5558313,725.4392054,900.1973728,0
1955,120.6947891,906.7990067,1200.263164,0
1956,150.8684864,1133.498758,1600.350885,0
1957,188.585608,1416.873448,2133.80118,0
1958,235.73201,1771.09181,2845.06824,0
1959,424.937965,2161.91067,3793.42432,0
1960,589.330025,2872.20844,2875.31017,0
1961,669.975186,3501.86104,3960.91811,0
1962,607.940447,3545.28536,3458.43673,0
1963,1001.86104,4848.01489,3539.08189,0
1964,964.640199,5192.30769,3787.22084,0
1965,883.995037,4745.65757,3787.22084,0
1966,1101.11663,5704.09429,4745.65757,0
1967,632.754342,3331.26551,5704.09429,0
1968,738.2134,4311.41439,7065.75682,0
1969,1125.93052,6023.5732,5099.25558,0
1970,1256.20347,7009.92556,4779.77668,9.570972132
1971,3281.63772,7254.96278,9351.73697,10.63441348
1972,3709.67742,10204.7146,7831.88586,11.81601498
1973,3058.31266,8458.43673,5763.0273,13.12890553
1974,2831.88586,9696.02978,5440.44665,14.58767281
1975,2019.23077,9692.92804,3929.90074,16.20852535
1976,1972.70472,7760.54591,5313.27543,18.00947261
1977,1861.04218,7968.36228,4317.61787,20.01052512
1978,2447.27047,8557.69231,3954.71464,22.2339168
1979,1181.76179,7496.89826,3830.64516,24.704352
1980,1696.65012,6597.39454,3126.55087,27.44928
1981,2903.22581,5952.23325,2776.05459,30.4992
1982,4041.56328,5874.68983,2667.4938,33.888
1983,1166.2531,6535.3598,2223.94541,176.352
1984,3334.36725,5257.44417,2068.85856,193.344
1985,2146.40199,5803.34988,2468.98263,84.192
1986,2456.57568,5508.68486,2552.72953,355.104
1987,3843.05211,8846.15385,2549.62779,428.16
1988,3805.83127,7838.08933,2729.52854,370.368
1989,1895.16129,7748.13896,2667.4938,250.368
1990,3458.43673,7577.54342,2676.79901,170.88
1991,4584.36725,7754.34243,1411.29032,167.52
1992,4320.7196,7102.97767,958.436725,137.568
1993,3681.76179,6004.96278,738.2134,153.024
1994,3855.45906,6516.74938,443.548387,130.08
1995,4134.61539,6836.22829,359.801489,254.496
1996,1522.95285,5505.58313,338.08933,218.88
1997,2807.07196,4807.69231,269.851117,140.64
1998,2651.98511,4599.87593,105.459057,91.584
1999,2862.90323,4950.37221,58.9330025,0
2000,3773.7604,5694.4239,43.4243176,0
2001,2316.7537,4842.3447,86.8486352,0
2002,2791.5121,2.3474,68.2382134,0
2003,1137.0239,4656.2699,93.0521092,0
2004,1667.8337,3825.3423,108.560794,0
2005,1571.0016,5458.19,77.5434243,0
2006,1576.9237,4560.6267,49.6277916,0
2007,3546.222104,5254.7617,68.2382134,0
2008,3717.921,5394.9356,71.3399504,0
2009,4666.8137,5329.1032,68.2382134,0
2010,2920.47305,4793.2083,71.3399504,0
2011,2308.097,4017.8996,68.2382134,0
2012,4053.5512,5197.7639,71.3399504,0
2013,3248.6223,4360.6024,68.2382134,0
2014,2604.5045,2885.883,71.3399504,0
2015,3804.205658,3455.928047,68.2382134,0
2016,3891.539817,2152.002996,51.17866005,0
2017,4053.007891,2254.563006,38.38399504,0
2018,3050.7666,2094.8929,28.78799628,0
2019,3512.55295,2134.8119,21.59099721,0
2020,2999.0013,2015.30455,16.19324791,0
2021,2821.39435,1874.8274,12.14493593,0
2022,3655.9109,1530.2382,9.108701947,0
2023,2909.75215,1340.57,6.831526461,0
