
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value 4.5073642e+06; maximum gradient component mag -1.0726e+07
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.18073 -1.07262e+07 |  2 -0.02767 -4.57474e+04 |  3 -0.04112 -5.71934e+04
  4  0.03987 -3.21080e+04 |  5 -0.01217 -3.61098e+04 |  6  0.04951 -5.93939e+04
  7  0.02826 -7.10705e+04 |  8 -0.04918 -7.54834e+04 |  9  0.00594 -1.05498e+05
 10  0.01740 -1.04664e+05 | 11 -0.01540 -9.37147e+04 | 12 -0.02953 -9.01922e+04
 13 -0.00889 -9.83795e+04 | 14 -0.01102 -9.17389e+04 | 15  0.02693 -1.09756e+05
 16 -0.03571 -8.40795e+04 | 17 -0.01985 -8.99127e+04 | 18  0.00418 -8.27409e+04
 19  0.03190  7.71688e+04 | 20 -0.04003  8.51621e+04 | 21  0.03796  1.38509e+05
 22  0.05098  1.30716e+05 | 23 -0.03323  7.18970e+04 | 24  0.01819  8.68082e+04
 25  0.01843  7.21864e+04 | 26  0.01335  5.89856e+04 | 27  0.03648  6.51088e+04
 28  0.01943  3.76490e+04 | 29 -0.02470  1.91835e+04 | 30  0.03394  3.49227e+04
 31  0.04321  3.77150e+04 | 32  0.01597 -7.60851e+04 | 33  0.00872 -9.57732e+04
 34  0.02107 -6.91246e+04 | 35 -0.01050 -9.23108e+04 | 36  0.04620 -1.45825e+05
 37 -0.04624 -9.07582e+04 | 38 -0.01655 -1.17988e+05 | 39 -0.00584 -1.00527e+05
 40 -0.04502 -8.15930e+04 | 41 -0.04884 -8.13798e+04 | 42 -0.03552 -9.17207e+04
 43 -0.02090 -9.78788e+04 | 44 -0.01778 -1.11706e+05 | 45  0.03134 -1.71252e+05
 46 -0.03167 -1.06139e+05 | 47  0.03024 -1.38402e+05 | 48 -0.02527 -1.22326e+05
 49  0.02496 -1.30507e+05 | 50 -0.01651 -1.32349e+05 | 51  0.00226 -2.30443e+05
 52 -0.03848 -1.87297e+05 | 53 -0.04743 -1.38108e+05 | 54 -0.01301 -1.50804e+05
 55 -0.01823 -1.35679e+05 | 56 -0.02985 -1.18567e+05 | 57  0.00302 -1.38152e+05
 58 -0.04644 -9.71746e+04 | 59  0.03043 -1.56808e+05 | 60 -0.03238 -1.22763e+05
