"","Label","Type","Base run","Best model","Run 2","Run 3","Run 4","Run 5","Run 6","Run 7 (2000 catch)","Run 8 (1986 catch)"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",-2.15100000000001,-73.754,-46.178,1082.154,391.696,1014.35,492.026,-77.222,12100.04
"3",NA,"deltaAIC",0,-71.603,-44.027,1084.305,393.847,1016.501,494.177,-75.071,12102.191
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-79.5376,-132.908,-118.289,392.203,15.4312,185.072,-48.2654,-57.8821,-45.7752
"6",NA,"Fleet_1",-36.907,-27.1756,-29.016,-22.7208,63.3476,61.9532,23.2722,-31.1109,-20.8354
"7",NA,"Fleet_2",-31.4583,-106.552,-117.885,-71.8622,-81.1441,-86.7301,-89.5217,-26.7712,-24.9397
"8",NA,"Fleet_3",-11.1722,-9.41244,-7.17003,1.43598,-9.89359,5.12903,-5.86604,NA,NA
"9",NA,"Fleet_4",0,10.2316,35.7826,485.35,43.1212,204.72,23.8501,NA,NA
"10","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Fleet_1",1,1,1,1,1,1,1,1,1
"13",NA,"Fleet_2",1,1,1,1,1,1,1,1,1
"14",NA,"Fleet_3",1,1,1,1,1,1,1,NA,NA
"15",NA,"Fleet_4",0,1,1,1,1,1,1,NA,NA
"16","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"ALL",30.2017,26.9396,31.7793,29.6074,109.332,35.5169,99.9264,10.2656,5954.1
"18",NA,"Fleet_1",10.666,6.33018,13.4283,10.6617,53.0078,17.2944,68.5258,4.18473,1639.55
"19",NA,"Fleet_2",7.71353,11.3993,6.93512,5.2962,41.7003,13.8702,6.83405,6.08083,4314.55
"20",NA,"Fleet_3",11.8222,9.21008,11.4159,13.6495,14.6236,4.3523,24.5666,NA,NA
"21",NA,"Fleet_4",0,0,0,0,0,0,0,NA,NA
"22","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Fleet_1",1,1,1,1,1,1,1,1,1
"25",NA,"Fleet_2",1,1,1,1,1,1,1,1,1
"26",NA,"Fleet_3",1,1,1,1,1,1,1,NA,NA
"27",NA,"Fleet_4",0,0,0,0,0,0,0,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"NatM_uniform_Fem_GP_1",0.255,0.225,0.225,0.255,0.255,0.110877,0.066568,0.255,0.255
"33",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0
"34",NA,"L_at_Amax_Fem_GP_1",100.9,100.9,100.9,100.9,93.8,110,51.216,100.9,100.9
"35",NA,"VonBert_K_Fem_GP_1",0.09,0.15,0.15,0.09,0.15,0.0361885,0.160594,0.09,0.09
"36",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"37",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"38",NA,"Wtlen_1_Fem_GP_1",1.23e-05,1.23e-05,1.23e-05,1.23e-05,1.23e-05,1.23e-05,1.23e-05,1.23e-05,1.23e-05
"39",NA,"Wtlen_2_Fem_GP_1",3.035,3.035,3.035,3.035,3.035,3.035,3.035,3.035,3.035
