Year,Fleet_1,Fleet_2
2000,3773.7604,5694.4239
2001,2316.7537,4842.3447
2002,2791.5121,2.3474
2003,1137.0239,4656.2699
2004,1667.8337,3825.3423
2005,1571.0016,5458.19
2006,1576.9237,4560.6267
2007,3546.222104,5254.7617
2008,3717.921,5394.9356
2009,4666.8137,5329.1032
2010,2920.47305,4793.2083
2011,2308.097,4017.8996
2012,4053.5512,5197.7639
2013,3248.6223,4360.6024
2014,2604.5045,2885.883
2015,3804.205658,3455.928047
2016,3891.539817,2152.002996
2017,4053.007891,2254.563006
2018,3050.7666,2094.8929
2019,3512.55295,2134.8119
2020,2999.0013,2015.30455
2021,2821.39435,1874.8274
2022,3655.9109,1530.2382
2023,2909.75215,1340.57
