"Year","Fleet_1 (mt)","Fleet_2 (mt)","Total Catch (mt)"
2000,3773.76,5694.42,9468.18
2001,2316.75,4842.34,7159.09
2002,2791.51,2.3474,2793.8574
2003,1137.02,4656.27,5793.29
2004,1667.83,3825.34,5493.17
2005,1571,5458.19,7029.19
2006,1576.92,4560.63,6137.55
2007,3546.22,5254.76,8800.98
2008,3717.92,5394.94,9112.86
2009,4666.81,5329.1,9995.91
2010,2920.47,4793.21,7713.68
2011,2308.1,4017.9,6326
2012,4053.55,5197.76,9251.31
2013,3248.62,4360.6,7609.22
2014,2604.5,2885.88,5490.38
2015,3804.21,3455.93,7260.14
2016,3891.54,2152,6043.54
2017,4053.01,2254.56,6307.57
2018,3050.77,2094.89,5145.66
2019,3512.55,2134.81,5647.36
2020,2999,2015.3,5014.3
2021,2821.39,1874.83,4696.22
2022,3655.91,1530.24,5186.15
2023,2909.75,1340.57,4250.32
