"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
2000,1049870,361642,1049870,1,294213,9468.18,0.0903991,0.00901843085334375
2001,1040450,357991,1040450,0.989904380575265,294070,7159.09,0.0694274,0.0068807631313374
2002,1033950,355192,1033950,0.982164682199523,293959,2793.8574,0.0297158,0.00270212041201219
2003,1032300,354216,1032300,0.979465880622273,293919,5793.29,0.0563997,0.00561202169911847
2004,1028080,352197,1028080,0.973883011375891,293837,5493.17,0.0543213,0.00534313477550385
2005,1024640,350533,1024640,0.969281775899923,293769,7029.19,0.0686048,0.00686015576202373
2006,1020140,348487,1020140,0.963624247183679,293685,6137.55,0.0606245,0.00601638010469151
2007,1017030,347000,1017030,0.959512446010143,293623,8800.98,0.0869651,0.00865360903808147
2008,1011660,344706,1011660,0.953169156237384,293526,9112.86,0.0903513,0.00900782871715794
2009,1006510,342444,1006510,0.94691435176224,293429,9995.91,0.0995627,0.00993125751358655
2010,1000990,340023,1000990,0.940219885964573,293325,7713.68,0.0776123,0.00770605100950059
2011,998347,338633,998347,0.936376305849431,293264,6326,0.0641824,0.00633647419183911
2012,997517,338002,997517,0.93463148638709,293236,9251.31,0.0928433,0.00927433818170518
2013,994042,336488,994042,0.930445025743691,293169,7609.22,0.0772079,0.00765482746201871
2014,992575,335745,992575,0.928390507739698,293136,5490.38,0.0566331,0.0055314510238521
2015,993460,335954,993460,0.928968427339745,293145,7260.14,0.0742792,0.00730793388762507
2016,992644,335617,992644,0.928036566549239,293130,6043.54,0.0628754,0.00608832572402594
2017,993121,335805,993121,0.928556417672726,293139,6307.57,0.0654421,0.00635126031973949
2018,993337,335921,993337,0.92887717687658,293144,5145.66,0.0534907,0.00518017550941926
2019,994722,336471,994722,0.930398017929333,293168,5647.36,0.058569,0.00567732492093268
2020,995528,336844,995528,0.931429424679656,293185,5014.3,0.0520376,0.00503682467996882
2021,996901,337434,996901,0.933060872354428,293211,4696.22,0.0487607,0.00471081882754657
2022,998482,338122,998482,0.934963306253145,293241,5186.15,0.05407,0.00519403454443846
2023,999410,338598,999410,0.936279525055165,293262,4250.32,0.0444435,0.00425282916920983
2024,1001150,339359,1001150,0.938383816039066,293296,66553.8,0.5,0.0664773510462968
2025,940224,316620,940224,0.875506716587122,292234,61674.5,0.5,0.0655955389354026
2026,887426,295131,887426,0.816086074073255,291089,57621,0.5,0.0649304843446101
2027,842646,275514,842646,0.761841821469851,289897,54407,0.5,0.0645668525098321
2028,805255,258258,805255,0.714126124731088,288709,51965.1,0.5,0.0645324772898026
