"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24"
2000,530.553,2307.9,8643.51,17243.9,26091.7,33498.3,38646.6,41371.6,41913.1,40708.8,38249.5,34992.8,31322,27532.3,23834.9,20368.4,17214,14409.5,11961.9,9858.04,8072.35,6572.77,5324.86,4294.52,19972.4
2001,530.295,2307.9,8643.51,17243.8,26036.6,33299.9,38305.7,40921.5,41399,40175.1,37734.9,34527.6,30925,27209.9,23583.6,20178.9,17074.7,14309,11890.3,9807.45,8036.76,6547.76,5307.27,4282.12,19948.4
2002,530.094,2306.78,8643.51,17243.8,26050.8,33280.8,38165.8,40674,41076.8,39813.9,37365.1,34173.5,30605.3,26936.7,23361.2,20005.4,16943.9,14212.9,11821.1,9758.26,8002.1,6523.46,5290.26,4270.2,19921.1
2003,530.024,2305.9,8639.32,17243.9,26071,33372.4,38272,40697.2,41028.3,39716.4,37240.8,34040,30475,26818.2,23260.1,19923.6,16880.6,14165.8,11787.2,9734.46,7985.68,6512.27,5282.7,4265.11,19904.3
2004,529.876,2305.59,8636.04,17235.5,26060.2,33357.9,38305,40710.9,40932.7,39539.4,37015.1,33792.4,30226.2,26584.7,23053.7,19751.1,16743.1,14060.5,11709,9677.79,7945.34,6483.9,5262.89,4251.32,19870.9
2005,529.753,2304.95,8634.89,17229,26047.6,33344.7,38290.1,40749.2,40951.4,39454.2,36858.9,33598.3,30018.8,26381,22865.8,19587.3,16607.7,13953.5,11627.7,9617.91,7902.28,6453.47,5241.64,4236.58,19833.1
2006,529.601,2304.42,8632.49,17226.6,26030.2,33301.1,38227.1,40669.4,40916,39394.2,36702.4,33384,29781.1,26143.6,22643.9,19390.4,16441.3,13819.2,11523.5,9539.7,7845.17,6412.62,5212.85,4216.49,19782.5
2007,529.489,2303.75,8630.49,17221.9,26031,33294.5,38204.3,40638.8,40877.7,39404.1,36689.9,33282.7,29627.3,25967.5,22465.6,19222.4,16291.6,13692.3,11421,9460.34,7785.79,6369.43,5182.1,4194.94,19725.4
2008,529.314,2303.27,8628,17217.8,26005.4,33230.2,38085.9,40470.6,40685.6,39203.2,36545.2,33137.6,29428.9,25750.1,22252.9,19027.1,16119.6,13546.2,11301.4,9366.06,7714,6316.36,5143.82,4167.83,19654.2
2009,529.14,2302.51,8626.18,17212.9,25997.1,33189.4,37998.6,40327.2,40496.9,38998.2,36339.2,32989.5,29286.1,25566.2,22057.9,18840.5,15951.1,13399.9,11178.4,9266.31,7635.95,6257.3,5100.38,4136.63,19569.9
