"Year","Recruitment (1,000s)","Lower Interval","Upper Interval","Recruitment Deviations","Lower Interval","Upper Interval"
2014,293136,25332.71513614,3392005.71412154,0,0,0
2015,293145,25334.51217348,3391973.38541829,0,0,0
2016,293130,25331.3330890697,3392051.9144362,0,0,0
2017,293139,25333.1300612172,3392019.58515786,0,0,0
2018,293144,25334.0977314782,3392005.73262279,0,0,0
2019,293168,25338.9637901668,3391909.66669889,0,0,0
2020,293185,25342.4201384798,3391840.39074795,0,0,0
2021,293211,25347.7296367772,3391731.399733,0,0,0
2022,293241,25353.8695985335,3391603.94222323,0,0,0
2023,293262,25358.1570691676,3391516.20559085,0,0,0
2024,293296,25365.1286126864,3391370.29145501,0,0,0
