"Year","1-SPR","Lower Interval","Upper Interval","Exploitation Rate","Lower Interval","Upper Interval"
2014,0.0566331,-0.160358432656398,0.273624632656398,0.00553146,-0.0166429845318908,0.0277059045318908
2015,0.0742792,-0.206865873798363,0.355424273798363,0.00730793,-0.021962956130715,0.036578816130715
2016,0.0628754,-0.176957552932228,0.302708352932228,0.00608833,-0.0183185135102819,0.0304951735102819
2017,0.0654421,-0.183538004848077,0.314422204848077,0.00635126,-0.0190986763428541,0.0318011963428541
2018,0.0534907,-0.151253017717008,0.258234417717008,0.00518018,-0.0155734866394977,0.0259338466394977
2019,0.058569,-0.164582699459808,0.281720699459808,0.00567733,-0.0170374766024285,0.0283921366024285
2020,0.0520376,-0.146751747131975,0.250826947131975,0.00503683,-0.0150998399771645,0.0251734999771645
2021,0.0487607,-0.137574447985012,0.235095847985012,0.00471082,-0.014097288390244,0.023518928390244
2022,0.05407,-0.151736018196628,0.259876018196628,0.00519403,-0.0155110295326811,0.0258990895326811
2023,0.0444435,-0.125503017135484,0.214390017135484,0.00425283,-0.0126851003558358,0.0211907603558358
