"Reference Points","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Biomass (mt)","361642","-1007812.27549392","1731096.27549392"
"Unfished Age 0+ Biomass (mt)","1049870","-2925760.14552074","5025500.14552074"
"Unfished Recruitment (R0)","294213","-819903.047479994","1408329.04747999"
"2024 Spawning Biomass (mt)","339359","-1030105.07531384","1708823.07531384"
"2024 Fraction Unfished","0.938383","0.704904250305651","1.17186174969435"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Biomass (mt) SB40\%","144657","-403125.494183161","692439.494183161"
"SPR Resulting in SB40\%","0.428571","0.428571","0.428571"
"Exploitation Rate Resulting in SB40\%","0.0894338","0.0814934371087126","0.0973741628912874"
"Yield with SPR Based On SB40\% (mt)","49251.6","-136771.91371147","235275.11371147"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Biomass (mt) (SPR50)","171780","-478710.486865014","822270.486865014"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.0717453","0.0647833315301551","0.0787072684698449"
"Yield with SPR50 at SB SPR (mt)","44276.7","-122916.459730002","211469.859730002"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Biomass (mt) at MSY (SB MSY)","72810.7","-202248.685626367","347870.085626367"
"SPR MSY","0.239365","0.22796653545331","0.25076346454669"
"Exploitation Rate Corresponding to SPR MSY","0.159212","0.155517409090222","0.162906590909778"
"MSY (mt)","56917.9","-158235.1864389","272070.9864389"
