"Quantity","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","5490.38","7260.14","6043.54","6307.57","5145.66","5647.36","5014.3","4696.22","5186.15","4250.32","NA"
"1-SPR","0.0566331","0.0742792","0.0628754","0.0654421","0.0534907","0.058569","0.0520376","0.0487607","0.05407","0.0444435",NA
"Exploitation Rate","0.00553146","0.00730793","0.00608833","0.00635126","0.00518018","0.00567733","0.00503683","0.00471082","0.00519403","0.00425283",NA
"Age 0+ Biomass (mt)","992575","993460","992644","993121","993337","994722","995528","996901","998482","999410","1017030"
"Spawning Biomass (mt)","335745","335954","335617","335805","335921","336471","336844","337434","338122","338598","339359"
"Lower Interval","-1033023.28809933","-1032871.12705488","-1033247.32633457","-1033124.00514606","-1033078.56384951","-1032624.60208475","-1032333.9205721","-1031830.15898742","-1031222.51751078","-1030801.39650235","-1030105.07531384"
"Upper Interval","1704513.28809933","1704779.12705488","1704481.32633457","1704734.00514606","1704920.56384951","1705566.60208475","1706021.9205721","1706698.15898742","1707466.51751078","1707997.39650235","1708823.07531384"
"Recruits","293136","293145","293130","293139","293144","293168","293185","293211","293241","293262","293296"
"Lower Interval","25332.71513614","25334.51217348","25331.3330890697","25333.1300612172","25334.0977314782","25338.9637901668","25342.4201384798","25347.7296367772","25353.8695985335","25358.1570691676","25365.1286126864"
"Upper Interval","3392005.71412154","3391973.38541829","3392051.9144362","3392019.58515786","3392005.73262279","3391909.66669889","3391840.39074795","3391731.399733","3391603.94222323","3391516.20559085","3391370.29145501"
"Fraction Unfished","0.928391","0.928969","0.928036","0.928557","0.928876","0.930398","0.931428","0.93306","0.934964","0.936279","0.938383"
"Lower Interval","0.659025309748722","0.661618152724829","0.657041579677569","0.659353986759439","0.660680408247493","0.667696187296158","0.672399159803187","0.679973770604312","0.688865042209197","0.695009393467104","0.704904250305651"
"Upper Interval","1.19775669025128","1.19631984727517","1.19903042032243","1.19776001324056","1.19707159175251","1.19309981270384","1.19045684019681","1.18614622939569","1.1810629577908","1.1775486065329","1.17186174969435"
