"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24"
2000,147106,113995,88336.7,68453.6,53045.8,41106.1,31853.8,24684,19128,14822.6,11486.3,8900.93,6897.48,5344.97,4141.9,3209.63,2487.2,1927.37,1493.55,1157.38,896.87,694.999,538.566,417.344,1436.83
2001,147035,113995,88336.7,68453.1,52933.8,40862.6,31572.8,24415.4,18893.4,14628.3,11331.8,8782.6,6810.05,5282.37,4098.23,3179.77,2467.07,1913.92,1484.61,1151.44,892.916,692.355,536.787,416.139,1435.1
2002,146979,113940,88336.7,68453.2,52962.5,40839.2,31457.5,24267.8,18746.4,14496.8,11220.7,8692.52,6739.65,5229.33,4059.6,3152.43,2448.16,1901.07,1475.97,1145.66,889.065,689.785,535.067,414.98,1433.14
2003,146960,113897,88293.8,68453.4,53003.6,40951.6,31545,24281.7,18724.2,14461.3,11183.4,8658.57,6710.95,5206.34,4042.03,3139.53,2439.02,1894.78,1471.74,1142.87,887.241,688.602,534.302,414.486,1431.94
2004,146919,113881,88260.4,68420.1,52981.7,40933.8,31572.2,24289.8,18680.6,14396.8,11115.6,8595.57,6656.16,5161,4006.17,3112.35,2419.15,1880.68,1461.97,1136.21,882.759,685.603,532.298,413.146,1429.53
2005,146885,113850,88248.6,68394.1,52956.1,40917.6,31559.9,24312.7,18689.2,14365.8,11068.7,8546.21,6610.5,5121.46,3973.51,3086.54,2399.58,1866.38,1451.82,1129.18,877.975,682.385,530.149,411.714,1426.81
2006,146842,113823,88224.1,68384.9,52920.7,40864.1,31508,24265,18673,14344,11021.7,8491.71,6558.14,5075.36,3934.95,3055.52,2375.55,1848.41,1438.81,1120,871.629,678.065,527.237,409.761,1423.17
2007,146811,113791,88203.6,68365.9,52922.4,40856,31489.2,24246.8,18655.5,14347.6,11018,8465.94,6524.29,5041.19,3903.96,3029.05,2353.91,1831.44,1426.02,1110.69,865.033,673.498,524.127,407.666,1419.06
2008,146763,113767,88178.2,68349.9,52870.4,40777,31391.6,24146.5,18567.8,14274.4,10974.5,8429.03,6480.59,4998.98,3867.01,2998.27,2329.06,1811.9,1411.08,1099.62,857.056,667.887,520.255,405.032,1413.94
2009,146715,113729,88159.6,68330.2,52853.4,40727.1,31319.6,24060.9,18481.7,14199.8,10912.7,8391.35,6449.14,4963.27,3833.11,2968.87,2304.72,1792.32,1395.73,1087.9,848.385,661.641,515.862,402,1407.88
2010,146662,113692,88130.5,68315.7,52823.8,40683.1,31246.4,23973.3,18388.8,14111.9,10838.8,8332.02,6412.17,4933.95,3802.49,2940.88,2280.93,1772.88,1380.22,1075.8,839.184,654.843,510.971,398.563,1400.78
2011,146632,113651,88101.5,68293.4,52844.4,40728.8,31290.4,23990,18383.9,14091.1,10810.4,8304.01,6386.66,4919,3788.73,2922.97,2262.99,1756.85,1366.7,1064.78,830.458,648.143,505.988,394.963,1392.88
2012,146618,113627,88070.1,68271,52844.5,40782.4,31368.7,24064.5,18431.9,14116.1,10817,8299.25,6377.59,4908.19,3783.29,2916.47,2251.93,1744.84,1355.54,1055.15,822.487,641.763,501.054,391.277,1384.23
2013,146585,113617,88051.8,68246.4,52788,40697.9,31313.4,24033.8,18411.1,14089.6,10787,8267.69,6347.82,4883.2,3762.85,2904.26,2241.68,1732.9,1344.05,1045.08,814.081,634.959,495.689,387.168,1374.25
2014,146568,113591,88043.5,68232.4,52789.9,40699.5,31300.2,24040.2,18429.6,14107.9,10793.5,8264.82,6338.19,4870.56,3750.64,2893.24,2235.4,1727.06,1336.2,1037.11,806.9,628.865,490.701,383.204,1363.61
