"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"22","L_at_Amax_Fem_GP_1",90,-120.573,1.21881e-05,87874,20946,0.238364,3
"21","L_at_Amax_Fem_GP_1",90.5,-121.637,0.000854191,89552.8,21285.6,0.237688,3
"20","L_at_Amax_Fem_GP_1",91,-121.966,5.28004e-05,90622.2,21715.7,0.239629,3
"19","L_at_Amax_Fem_GP_1",91.5,-122.849,0.000148071,92352.9,22079.7,0.23908,3
"18","L_at_Amax_Fem_GP_1",92,-123.316,4.25233e-05,93795.4,22492.9,0.239808,3
"17","L_at_Amax_Fem_GP_1",92.5,-123.689,0.000671587,95265.7,22916.1,0.24055,3
"16","L_at_Amax_Fem_GP_1",93,-123.968,0.000398127,96760.7,23347.6,0.241293,3
"15","L_at_Amax_Fem_GP_1",93.5,-132.572,1.43457e-05,95762.6,24500.2,0.255843,2
"14","L_at_Amax_Fem_GP_1",94,-123.988,0.000864895,99366.1,24246.9,0.244016,2
"13","L_at_Amax_Fem_GP_1",94.5,-124.351,4.13808e-05,101153,24645.3,0.243644,2
"12","L_at_Amax_Fem_GP_1",95,-124.367,0.000232042,102609,25076.7,0.244391,2
"11","L_at_Amax_Fem_GP_1",95.5,-124.333,0.00132228,104072,25507.3,0.245093,2
"10","L_at_Amax_Fem_GP_1",96,-124.253,0.000673852,105543,25936.4,0.245742,2
"9","L_at_Amax_Fem_GP_1",96.5,-124.131,6.20907e-05,107022,26363.1,0.246333,2
"8","L_at_Amax_Fem_GP_1",97,-123.97,0.000134019,108510,26786.5,0.246858,2
"7","L_at_Amax_Fem_GP_1",97.5,-123.775,8.35423e-05,110007,27205.9,0.247312,2
"6","L_at_Amax_Fem_GP_1",98,-123.55,2.96065e-05,111513,27620.5,0.247688,2
"5","L_at_Amax_Fem_GP_1",98.5,-123.299,0.000936425,113031,28029.4,0.24798,2
"4","L_at_Amax_Fem_GP_1",99,-123.027,0.000392503,114560,28431.8,0.248183,2
"3","L_at_Amax_Fem_GP_1",99.5,-122.738,0.00258663,116100,28827.1,0.248295,2
"2","L_at_Amax_Fem_GP_1",100,-122.437,0.00404531,117652,29214.6,0.248315,2
"1","L_at_Amax_Fem_GP_1",100.5,-122.128,6.32754e-05,119212,29594.2,0.248248,2
"23","L_at_Amax_Fem_GP_1",100.9,-121.877,0.000758675,120465,29892.3,0.248141,2
"24","L_at_Amax_Fem_GP_1",101,-121.368,0.000704841,120362,29924.9,0.248625,2
"25","L_at_Amax_Fem_GP_1",101.5,-131.448,0.000940212,119360,31033.1,0.259995,1
"26","L_at_Amax_Fem_GP_1",102,-121.186,9.68991e-05,123910,30689.3,0.247675,2
"27","L_at_Amax_Fem_GP_1",102.5,-120.876,0.000499168,125464,31041.3,0.247411,2
"28","L_at_Amax_Fem_GP_1",103,-120.57,0.00146878,127007,31386.5,0.247123,2
"29","L_at_Amax_Fem_GP_1",103.5,-120.268,2.18116e-05,128537,31723.7,0.246806,2
"30","L_at_Amax_Fem_GP_1",104,-119.97,0.000591952,130053,32051.1,0.246447,2
"31","L_at_Amax_Fem_GP_1",104.5,-119.676,4.38356e-05,131556,32366.4,0.246027,2
"32","L_at_Amax_Fem_GP_1",105,-119.385,0.00251552,133049,32666.8,0.245525,2
"33","L_at_Amax_Fem_GP_1",105.5,-119.096,0.00205252,134533,32949,0.244913,2
"34","L_at_Amax_Fem_GP_1",106,-118.23,0.000203965,136222,33216.5,0.243842,1
"35","L_at_Amax_Fem_GP_1",106.5,-118.522,0.00359911,137495,33446,0.243252,2
"36","L_at_Amax_Fem_GP_1",107,-118.237,0.00134396,138981,33654.7,0.242154,2
"37","L_at_Amax_Fem_GP_1",107.5,-124.072,0.000862836,137017,34323,0.250502,1
"38","L_at_Amax_Fem_GP_1",108,-117.676,0.000474094,141962,33987,0.239409,2
"39","L_at_Amax_Fem_GP_1",108.5,-117.402,0.00027187,143442,34114.8,0.23783,2
"40","L_at_Amax_Fem_GP_1",109,-117.036,5.87543e-05,145238,34149.3,0.235127,1
"41","L_at_Amax_Fem_GP_1",109.5,-116.857,0.000864173,146328,34309,0.234467,2
"42","L_at_Amax_Fem_GP_1",110,-116.568,0.00348636,148028,34381.9,0.232266,1
