"","M_f 0.2","M_f 0.225","M_f 0.25","M_f 0.275","M_f 0.3","M_f 0.325","M_f 0.35","M_f 0.375","M_f 0.4","M_f 0.425","M_f 0.45","M_f 0.475","M_f 0.5"
"totlikelihood",-99.0708,-131.942,-112.798,-118.16,-141.176,-125.082,-128.031,-130.417,-132.401,-133.235,-143.77,-136.282,-145.264
"surveylike",-123.974,-142.369,-126.809,-128.534,-143.539,-131.042,-131.903,-132.892,-133.756,-138.33,-138.124,-135.802,-138.663
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",28.1466,30.1739,27.9729,27.7983,27.844,28.3955,28.1945,28.2475,28.2979,28.6312,25.4081,28.8727,25.2979
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",-3.31932,-19.7749,-14.0703,-17.5454,-25.5383,-22.5812,-24.4776,-25.9607,-27.1747,-23.8522,-31.1619,-29.6866,-32.0124
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",10.1162,10.1492,10.277,10.3416,10.3233,10.4286,10.4556,10.4849,10.5104,10.458,10.5281,10.5793,10.5635
"SB0",152718,117549,101364,83335.1,63904.6,56080.4,45959.5,38076.5,31665,24528,21607.3,18779.4,15340.8
"SBfinal",34483.1,30581.4,23783.9,19863.7,17826.4,13931.1,11735.2,9892.39,8351.18,7438.08,6412.77,5058.01,4622.88
"deplfinal",0.225796,0.260158,0.234639,0.238359,0.278953,0.248413,0.255339,0.259803,0.263736,0.303248,0.296787,0.269338,0.301346
"yieldspr",7057.98,6858,7327.19,7326.32,7155.55,7421.69,7493.78,7504.02,7509.09,6838.64,7360.31,7430.39,7373
"steep",0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
"mfem",0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5
"lminfem",0,0,0,0,0,0,0,0,0,0,0,0,0
"lmaxfem",100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9
"kfem",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"cv1fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"mmale",0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
"lminmale",0,0,0,0,0,0,0,0,0,0,0,0,0
"lmaxmale",100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9
"kmale",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"cv1male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
