"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"1","NatM_uniform_Fem_GP_1",0.2,-99.0708,0.00226082,152718,34483.1,0.225796,1
"2","NatM_uniform_Fem_GP_1",0.225,-131.942,6.00504e-05,117549,30581.4,0.260158,1
"3","NatM_uniform_Fem_GP_1",0.25,-112.798,0.000446542,101364,23783.9,0.234639,2
"4","NatM_uniform_Fem_GP_1",0.275,-118.16,0.000369821,83335.1,19863.7,0.238359,3
"5","NatM_uniform_Fem_GP_1",0.3,-141.176,0.00220545,63904.6,17826.4,0.278953,1
"6","NatM_uniform_Fem_GP_1",0.325,-125.082,0.000778057,56080.4,13931.1,0.248413,4
"7","NatM_uniform_Fem_GP_1",0.35,-128.031,0.00134252,45959.5,11735.2,0.255339,3
"8","NatM_uniform_Fem_GP_1",0.375,-130.417,0.00128003,38076.5,9892.39,0.259803,3
"9","NatM_uniform_Fem_GP_1",0.4,-132.401,6.18207e-05,31665,8351.18,0.263736,4
"10","NatM_uniform_Fem_GP_1",0.425,-133.235,0.00024729,24528,7438.08,0.303248,2
"11","NatM_uniform_Fem_GP_1",0.45,-143.77,0.000167258,21607.3,6412.77,0.296787,2
"12","NatM_uniform_Fem_GP_1",0.475,-136.282,0.00129085,18779.4,5058.01,0.269338,4
"13","NatM_uniform_Fem_GP_1",0.5,-145.264,0.000839636,15340.8,4622.88,0.301346,2
