"","h 0.6","h 0.62","h 0.64","h 0.66","h 0.68","h 0.7","h 0.72","h 0.74","h 0.76","h 0.78","h 0.8","h 0.82","h 0.84","h 0.86","h 0.88","h 0.9"
"totlikelihood",-43.4527,-49.1888,-54.8369,-60.3568,-65.7483,-70.2273,-76.1946,-81.9582,-87.1156,-90.4844,-95.7074,-101.425,-131.942,-112.428,-117.54,-122.5
"surveylike",-97.5298,-101.403,-104.044,-106.251,-108.237,-109.453,-111.965,-113.396,-115.048,-120.854,-122.951,-124.111,-142.369,-126.922,-128.081,-129.135
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",29.2893,29.3618,29.3355,29.275,29.198,27.0805,29.0316,26.3731,26.0805,28.1953,28.2915,28.0543,30.1739,27.7111,27.6684,27.6432
"agelike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"recrlike",24.7679,22.8308,19.8481,16.595,13.2657,12.1035,6.7102,5.03057,1.81479,2.12459,-1.12369,-5.43975,-19.7749,-13.3314,-17.2726,-21.1856
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",10.3967,10.3784,10.3603,10.3431,10.3266,10.3181,10.2953,10.2755,10.261,10.2525,10.249,10.2226,10.1492,10.194,10.1748,10.1533
"SB0",150569,147827,145187,142710,140375,139181,136046,133374,131460,130351,129893,126505,117549,122944,120604,118034
"SBfinal",36175.5,35160,34445.3,33831.3,33264.1,32451.2,32169.6,31516.7,30991.1,29984,29396.8,29019.8,30581.4,28144.3,27660.6,27155.5
"deplfinal",0.240258,0.237845,0.237248,0.237063,0.236966,0.233159,0.236461,0.236302,0.235746,0.230026,0.226315,0.229396,0.260158,0.22892,0.22935,0.230066
"yieldspr",7413.25,7455.15,7471.52,7474.08,7465.91,7342.18,7424.15,7350.41,7312.05,7398.57,7279.57,7297.48,6858,7065.05,6961.16,6840.43
"steep",0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9
"mfem",0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
"lminfem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lmaxfem",100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9
"kfem",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"cv1fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"mmale",0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
"lminmale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lmaxmale",100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9,100.9
"kmale",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
"cv1male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
