"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"12","SR_BH_steep",0.6,-43.4527,3.18659e-05,150569,36175.5,0.240258,1
"11","SR_BH_steep",0.62,-49.1888,6.71697e-05,147827,35160,0.237845,1
"10","SR_BH_steep",0.64,-54.8369,6.19218e-05,145187,34445.3,0.237248,1
"9","SR_BH_steep",0.66,-60.3568,0.000560543,142710,33831.3,0.237063,1
"8","SR_BH_steep",0.68,-65.7483,0.000111441,140375,33264.1,0.236966,1
"7","SR_BH_steep",0.7,-70.2273,2.32446e-05,139181,32451.2,0.233159,3
"6","SR_BH_steep",0.72,-76.1946,7.17163e-05,136046,32169.6,0.236461,2
"5","SR_BH_steep",0.74,-81.9582,6.08e-05,133374,31516.7,0.236302,2
"4","SR_BH_steep",0.76,-87.1156,5.64715e-05,131460,30991.1,0.235746,2
"3","SR_BH_steep",0.78,-90.4844,4.42844e-05,130351,29984,0.230026,1
"2","SR_BH_steep",0.8,-95.7074,0.000140071,129893,29396.8,0.226315,2
"1","SR_BH_steep",0.82,-101.425,3.57302e-05,126505,29019.8,0.229396,1
"13","SR_BH_steep",0.84,-131.942,6.00504e-05,117549,30581.4,0.260158,1
"14","SR_BH_steep",0.86,-112.428,0.0010775,122944,28144.3,0.22892,2
"15","SR_BH_steep",0.88,-117.54,0.00118094,120604,27660.6,0.22935,3
"16","SR_BH_steep",0.9,-122.5,8.4044e-05,118034,27155.5,0.230066,3
