"","0.05","0.1","0.15","0.15","0.2"
"totlikelihood",-74.833,-65.6875,-131.942,-131.942,-109.521
"surveylike",-134.485,-103.153,-142.369,-142.369,-143.1
"discardlike",NA,NA,NA,NA,NA
"lengthlike",32.4344,28.2175,30.1739,30.1739,22.124
"agelike",NA,NA,NA,NA,NA
"recrlike",24.716,9.18904,-19.7749,-19.7749,10.2727
"forerecrlike",0,0,0,0,0
"priorlike",0,0,0,0,0
"parmlike",0,0,0,0,0
"R0",10.7366,10.3615,10.1492,10.1492,10.0838
"SB0",17972.6,70010.3,117549,117549,166159
"SBfinal",1335.26,14756.9,30581.4,30581.4,36639.5
"deplfinal",0.0742941,0.210782,0.260158,0.260158,0.220509
"yieldspr",4874.85,5790.17,6858,6858,7994.9
"steep",0.84,0.84,0.84,0.84,0.84
"mfem",0.225,0.225,0.225,0.225,0.225
"lminfem",0,0,0,0,0
"lmaxfem",100.9,100.9,100.9,100.9,100.9
"kfem",0.05,0.1,0.15,0.15,0.2
"cv1fem",0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1
"mmale",0.225,0.225,0.225,0.225,0.225
"lminmale",0,0,0,0,0
"lmaxmale",100.9,100.9,100.9,100.9,100.9
"kmale",0.15,0.15,0.15,0.15,0.15
"cv1male",0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1
