
Initial statistics: 75 variables; iteration 0; function evaluation 0; phase 1
Function value 2.8854169e+06; maximum gradient component mag -2.3877e+07
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.12497 -2.38771e+07 |  2 -0.00176 -1.14821e+05 |  3 -0.03946 -8.83150e+04
  4  0.02990 -1.52158e+05 |  5 -0.01827 -1.00688e+05 |  6 -0.03889 -8.02310e+04
  7 -0.03693 -7.43113e+04 |  8  0.00307 -8.79228e+04 |  9 -0.03680 -4.67564e+04
 10  0.05220 -8.19215e+04 | 11 -0.01484 -9.45918e+04 | 12 -0.04961 -1.22202e+05
 13  0.03359 -1.68169e+05 | 14 -0.02319 -1.52016e+05 | 15  0.03296 -1.63411e+05
 16 -0.01593 -1.53455e+05 | 17  0.01238 -1.36475e+05 | 18 -0.04186 -1.33962e+05
 19  0.02680 -1.79106e+05 | 20 -0.04795 -2.36910e+05 | 21 -0.02204 -3.50484e+05
 22 -0.04429 -3.05850e+05 | 23 -0.01462 -3.77734e+05 | 24 -0.01375 -3.50590e+05
 25 -0.02127 -2.98976e+05 | 26  0.04817 -3.99222e+05 | 27  0.00550 -3.06750e+05
 28  0.02212 -3.45275e+05 | 29  0.03468 -3.30206e+05 | 30  0.04864 -3.94042e+05
 31 -0.04090 -3.04960e+05 | 32 -0.01915 -4.04616e+05 | 33 -0.04783 -1.70075e+05
 34  0.03447 -1.03058e+05 | 35  0.04686 -4.17257e+05 | 36 -0.03561 -1.69332e+05
 37 -0.00931 -1.32594e+05 | 38  0.01743 -1.25752e+05 | 39  0.04292 -1.10956e+05
 40 -0.01671 -7.31177e+04 | 41 -0.01942 -8.00334e+04 | 42 -0.03032 -7.75905e+04
 43  0.05091 -8.99217e+04 | 44  0.04450 -7.27046e+04 | 45 -0.01858 -1.31667e+05
 46 -0.02334 -1.47567e+05 | 47  0.04161 -8.38044e+04 | 48 -0.04032 -5.26653e+04
 49 -0.00039 -7.50309e+04 | 50  0.03509 -3.96620e+04 | 51  0.00322 -1.03521e+05
 52 -0.00316 -1.79625e+05 | 53 -0.02006 -5.51912e+04 | 54  0.03327 -9.87068e+04
